Nom,SMILES
(4-Aminophenyl)methanol,C1=CC(=CC=C1CO)N
4-(Aminomethyl)aniline,C1=CC(=CC=C1CN)N
Anthracen-2-amine,C1=CC=C2C=C3C=C(C=CC3=CC2=C1)N
2-Amino-5-methoxypyridine,COC1=CN=C(C=C1)N
5-Nitrothiazol-2-amine,C1=C(SC(=N1)N)[N+](=O)[O-]
2-Aminomethyl-pyridine,C1=CC=NC(=C1)CN
Prop-2-yn-1-amine,C#CCN
"4-Amino-2,6-dimethylbenzoic acid",CC1=CC(=CC(=C1C(=O)O)C)N
4-Amino-2-bromopyridine,C1=CN=C(C=C1N)Br
4-Aminobenzoic Acid,C1=CC(=CC=C1C(=O)O)N
3-Methyl-3H-purin-6-amine,CN1C=NC(=N)C2=C1N=CN2
2-Aminobenzenethiol,C1=CC=C(C(=C1)N)S
4-Amino-2-phenylpyridine,C1=CC=C(C=C1)C2=NC=CC(=C2)N
2-Aminobenzimidazole,C1=CC=C2C(=C1)NC(=N2)N
ethyl 3-amino-4-(cyclohexylamino)benzoate,CCOC(=O)C1=CC(=C(C=C1)NC2CCCCC2)N
2-Aminoacetophenone,C1=CC=C(C=C1)C(=O)CN
2-Amino-5-methylpyridine,CC1=CN=C(C=C1)N
4-Aminopyridine-2-carboxylic acid,C1=CN=C(C=C1N)C(=O)O
