 cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,smiles,inchikey,iupacname,exactmass,monoisotopicmass,charge,covalentunitcnt,isotopeatomcnt,totalatomstereocnt,definedatomstereocnt,undefinedatomstereocnt,totalbondstereocnt,definedbondstereocnt,undefinedbondstereocnt,pclidcnt,gpidcnt,gpfamilycnt,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
3081616,"Dipyrido[3,2-a:2',3'-c]phenazine","dipyrido[3,2-a:2',3'-c]phenazine|19535-47-8|dppz|dipyridophenazine|DIPYRIDO[3,2-A|quinoxalino[2,3-f][1,10]phenanthroline|MFCD28125537|dipyrido(3,2-a:2',3'-c)phenazine|SCHEMBL166826|YSCK0568|CHEMBL4591595|CHEBI:30622|BVQAWSJMUYMNQN-UHFFFAOYSA-N|dipyrido (3,2-a:2',3'-c) phenazine|BS-50110|SY056319|CS-0086674|D4379|T70507|Q27113902|Dipyrido[3,2-a:2 inverted exclamation mark ,3 inverted exclamation mark -c]phenazine",282.300,C18H10N4,51.600,376.000,3.200,22,0,4,0,InChI=1S/C18H10N4/c1-2-8-14-13(7-1)21-17-11-5-3-9-19-15(11)16-12(18(17)22-14)6-4-10-20-16/h1-10H,C1=CC=C2C(=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,BVQAWSJMUYMNQN-UHFFFAOYSA-N,"quinoxalino[2,3-f][1,10]phenanthroline",282.091,282.091,0,1,0,0,0,0,0,0,0,304,1200,370,"",Biological Test Results|Classification|Literature|Patents,4,1409565|1409566|1409567|1409568|1409569|1409570|1409571,20040916,"001Chemical|10X CHEM|A&J Pharmtech CO., LTD.|A2B Chem|AA BLOCKS|Aaron Chemicals LLC|AbaChemScene|abcr GmbH|ABI Chem|Accela ChemBio Inc.|Activate Scientific|Aladdin|Alfa Chemistry|Amadis Chemical|Ambeed|Ambinter|AppChem|AstaTech, Inc.|BenchChem|Bic Biotech|BLD Pharm|ChEBI|Chem-Impex|Chem-Space.com Database|ChEMBL|Chemenu Inc.|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|ChemSpider|Combi-Blocks|Cooke Chemical Co., Ltd|Crystallography Open Database (COD)|CymitQuimica|DiscoveryGate|Egon Willighagen, Department of Bioinformatics - BiGCaT, Maastricht University|eMolecules|eNovation Chemicals|ET Co.,Ltd.|Google Patents|Hairui Chemical|IBM|Innovapharm|Japan Chemical Substance Dictionary (Nikkaji)|Key Organics/BIONET|Lan Pharmatech|Mcule|Metabolomics Workbench|MolCore|Molecule Market|MolGenie|MolPort|MuseChem|Nature Chemistry|NCBI Structure|NextBio|NextMove Software|NovoSeek|PATENTSCOPE (WIPO)|Pharmacore Co., Limited|Protein Data Bank in Europe (PDBe)|PubChem Reference Collection|RR Scientific|SCRIPDB|Smolecule|Springer Nature|Starshine Chemical|SureChEMBL|TCI (Tokyo Chemical Industry)|THE BioTek|Thieme Chemistry|Thomson Pharma|ToxPlanet|Wikidata|Wiley|Win-Win Chemical|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,""
3350489,"N-pyridin-3-ylquinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",402.400,C24H14N6O,93.600,660.000,1.900,31,1,6,2,"InChI=1S/C24H14N6O/c31-24(28-15-4-1-9-25-13-15)14-7-8-18-19(12-14)30-23-17-6-3-11-27-21(17)20-16(22(23)29-18)5-2-10-26-20/h1-13H,(H,28,31)",C1=CC(=CN=C1)NC(=O)C2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,SGKKYGKDXJSDQU-UHFFFAOYSA-N,"N-pyridin-3-ylquinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",402.123,402.123,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050907,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3382496,"(2-Methyl-2,3-dihydroindol-1-yl)-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylmethanone","",441.500,C28H19N5O,71.900,776.000,3.700,34,0,5,1,"InChI=1S/C28H19N5O/c1-16-14-17-6-2-3-9-23(17)33(16)28(34)18-10-11-21-22(15-18)32-27-20-8-5-13-30-25(20)24-19(26(27)31-21)7-4-12-29-24/h2-13,15-16H,14H2,1H3",CC1CC2=CC=CC=C2N1C(=O)C3=CC4=C(C=C3)N=C5C6=C(C7=C(C5=N4)C=CC=N7)N=CC=C6,JEXXFXJFRNGAKY-UHFFFAOYSA-N,"(2-methyl-2,3-dihydroindol-1-yl)-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylmethanone",441.159,441.159,0,1,0,1,0,1,0,0,0,0,0,0,"","",0,"",20050908,ABI Chem|ChemDB|ChemSpider|NextBio,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3382654,"N-(3-hydroxypropyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",383.400,C22H17N5O2,101.000,590.000,1.100,29,2,6,4,"InChI=1S/C22H17N5O2/c28-11-3-10-25-22(29)13-6-7-16-17(12-13)27-21-15-5-2-9-24-19(15)18-14(20(21)26-16)4-1-8-23-18/h1-2,4-9,12,28H,3,10-11H2,(H,25,29)",C1=CC2=C(C3=C(C=CC=N3)C4=NC5=C(C=CC(=C5)C(=O)NCCCO)N=C24)N=C1,SIKSRQMJRJDOGL-UHFFFAOYSA-N,"N-(3-hydroxypropyl)quinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",383.138,383.138,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050908,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3399820,"1-[2-(Cyclohexen-1-yl)ethyl]-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylurea","",448.500,C27H24N6O,92.700,757.000,3.200,34,2,5,4,"InChI=1S/C27H24N6O/c34-27(30-15-12-17-6-2-1-3-7-17)31-18-10-11-21-22(16-18)33-26-20-9-5-14-29-24(20)23-19(25(26)32-21)8-4-13-28-23/h4-6,8-11,13-14,16H,1-3,7,12,15H2,(H2,30,31,34)",C1CCC(=CC1)CCNC(=O)NC2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,QVNGPXNQHNGYGA-UHFFFAOYSA-N,"1-[2-(cyclohexen-1-yl)ethyl]-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylurea",448.201,448.201,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050908,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3440972,"1-Cyclopropyl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylurea","",380.400,C22H16N6O,92.700,626.000,1.700,29,2,5,2,"InChI=1S/C22H16N6O/c29-22(25-12-5-6-12)26-13-7-8-16-17(11-13)28-21-15-4-2-10-24-19(15)18-14(20(21)27-16)3-1-9-23-18/h1-4,7-12H,5-6H2,(H2,25,26,29)",C1CC1NC(=O)NC2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,UEHYTWDQIYLBGY-UHFFFAOYSA-N,"1-cyclopropyl-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylurea",380.139,380.139,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050908,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3448588,"N-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylpyrrolidine-1-carbothioamide","",410.500,C23H18N6S,98.900,639.000,2.400,30,1,5,1,"InChI=1S/C23H18N6S/c30-23(29-11-1-2-12-29)26-14-7-8-17-18(13-14)28-22-16-6-4-10-25-20(16)19-15(21(22)27-17)5-3-9-24-19/h3-10,13H,1-2,11-12H2,(H,26,30)",C1CCN(C1)C(=S)NC2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,AFIJSALHGIDTDY-UHFFFAOYSA-N,"N-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylpyrrolidine-1-carbothioamide",410.131,410.131,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050908,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3449157,"1,1-Bis(prop-2-enyl)-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea","",436.500,C25H20N6S,98.900,690.000,3.200,32,1,5,5,"InChI=1S/C25H20N6S/c1-3-13-31(14-4-2)25(32)28-16-9-10-19-20(15-16)30-24-18-8-6-12-27-22(18)21-17(23(24)29-19)7-5-11-26-21/h3-12,15H,1-2,13-14H2,(H,28,32)",C=CCN(CC=C)C(=S)NC1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,WOHOXFAINCVARP-UHFFFAOYSA-N,"1,1-bis(prop-2-enyl)-3-quinoxalino[3,2-f][1,10]phenanthrolin-11-ylthiourea",436.147,436.147,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050908,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3474342,"N,N-dimethylquinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide","",353.400,C21H15N5O,71.900,569.000,1.600,27,0,5,1,"InChI=1S/C21H15N5O/c1-26(2)21(27)12-7-8-15-16(11-12)25-20-14-6-4-10-23-18(14)17-13(19(20)24-15)5-3-9-22-17/h3-11H,1-2H3",CN(C)C(=O)C1=CC2=C(C=C1)N=C3C4=C(C5=C(C3=N2)C=CC=N5)N=CC=C4,KUQBANZTWXMPSA-UHFFFAOYSA-N,"N,N-dimethylquinoxalino[3,2-f][1,10]phenanthroline-11-carboxamide",353.128,353.128,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050908,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
3482430,"Azepan-1-yl(quinoxalino[3,2-f][1,10]phenanthrolin-11-yl)methanone","",407.500,C25H21N5O,71.900,650.000,2.800,31,0,5,1,"InChI=1S/C25H21N5O/c31-25(30-13-3-1-2-4-14-30)16-9-10-19-20(15-16)29-24-18-8-6-12-27-22(18)21-17(23(24)28-19)7-5-11-26-21/h5-12,15H,1-4,13-14H2",C1CCCN(CC1)C(=O)C2=CC3=C(C=C2)N=C4C5=C(C6=C(C4=N3)C=CC=N6)N=CC=C5,YJMIVHPLSPPRBD-UHFFFAOYSA-N,"azepan-1-yl(quinoxalino[3,2-f][1,10]phenanthrolin-11-yl)methanone",407.175,407.175,0,1,0,0,0,0,0,0,0,0,0,0,"","",0,"",20050908,ABI Chem|ChemDB|ChemSpider|NextBio|ZINC,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,""
