L1,L2,L3
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,C(=C/c1ccnc(-c2cc(CCc3ccncc3)ccn2)c1)\c1ccncc1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(Nc2cc(N3CC[C@](O)(C=N)C3=O)ccn2)c1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,N#C/C(=C\c1ccnc(-c2cc(/C=C/C(=O)O)ccn2)c1)C(=O)O
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc(-n2c3ccc(-c4ccc(N(c5ccccn5)c5ccccn5)cc4)cc3c3cccnc32)cc1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Cc1ccc(-c2ccc(N3CCOCCOCCOCCOCC3)cn2)nc1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,OCC1O[C@@H](c2ccc(-c3ccccn3)nc2)C[C@H]1O
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CCOc1cc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)ccc1OC
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,COc1cc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)ccc1OCc1ccc(Br)cc1Br
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCOc1cc(C=Nn2c(-c3cc(C(C)C)c(OC)cc3C)nc3ccccc3c2=O)cc(I)c1OCc1ccc(C(=O)O)cc1
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,COc1ccccc1/C=C/c1ccnc(-c2cc(/C=C/c3ccccc3OC)cc[nH+]2)c1
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,C[n+]1cn(-c2cccc(Oc3ccnc(-c4ccccn4)c3)c2)c2ccccc21
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,COc1cc(Cl)cc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)c1OCc1cccc2ccccc12
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,C=Cc1ccnc(-c2ncccc2-c2ccccn2)c1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,COC(=O)[C@H](CCCCNC(=O)c1ccnc(-c2cc(C)ccn2)c1)NC(=O)CN(Cc1ccccn1)Cc1ccccn1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,COc1cc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)cc(Cl)c1OCc1ccc(Br)cc1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CCOc1cc(C)[n+]([O-])c(-c2cccc(C)[n+]2[O-])c1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,O=[N+]([O-])c1ccc(Nc2ncccc2Cl)nc1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,O=C(COc1ccc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)cc1Br)Nc1ccccc1F
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,CCS(=O)c1cccnc1-c1ccc(OC(F)(F)C(C)F)cn1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,Cc1c(C(=O)N(c2ccccn2)c2ccccn2)oc2ccccc12
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCCCCCCCCCCCCCc1cccnc1-c1ccccn1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,CCOc1cc(C=Nn2c(-c3cccc(C)c3)nc3ccccc3c2=O)ccc1OC(=O)c1ccc([N+](=O)[O-])cc1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,C=Cc1cnc(Nc2ccc(F)cn2)cc1C
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CC(=O)NCc1ccc(O)c2ncccc12
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CCCCCCCCCCCCCCN(C)c1ccc(C(O)Cc2ccnc(-c3cc(C)ccn3)c2)cc1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CCN(CC)c1ccnc(-c2ccccn2)c1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,COc1cccnc1-c1cc(N)ccn1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,O=c1c2ccccc2nc(-c2cccc(C(F)(F)F)c2)n1N=Cc1cc(Br)c(OCc2cccc3ccccc23)c([N+](=O)[O-])c1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,COC1[C@@H](Sc2cc(Cl)cnc2-c2ccccn2)OC(CO)[C@H](O)[C@@H]1N=[N+]=[N-]
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,C(=C/C=C/c1ccnc(-c2ccccn2)c1)\C=C\c1ccnc(-c2ccccn2)c1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,FC(F)(F)c1ccnc(N(CC23CC4CC(CC(C4)C2)C3)c2cc(C(F)(F)F)ccn2)c1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(Cl)c(O[C@H](C)CC)c(OC)c2)cc1C(C)C
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(OC)c(OCC(=O)Nc3cccc(F)c3)c([N+](=O)[O-])c2)cc1C(C)C
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(Br)c(O)c(Br)c2)cc1C(C)C
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCC(C)c1nc(-c2ccc(-c3ccccn3)nc2)no1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1ccc(/C=C/c2cc[n+](CCN)c(-c3cc(C)ccn3)c2)c2ccccc12
c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,Cn1c(-c2ccc(C(c3ccc(-c4nc5c6cccnc6c6ncccc6c5n4C)cc3)(c3ccc(-c4nc5c6cccnc6c6ncccc6c5n4C)cc3)c3ccc(-c4nc5c6cccnc6c6ncccc6c5n4C)cc3)cc2)nc2c3cccnc3c3ncccc3c21
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,O=C(O)c1ccc(-c2nc3c4cccnc4c4ncccc4c3n2-c2cccc(Cl)c2)cc1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1cc(C=Nn2c(-c3ccccc3)nc3ccccc3c2=O)c(Br)c(Br)c1OCC(N)=O
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,COC(=O)[C@@H](C)Oc1c(I)cc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)cc1I
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,CC(C)(C)COc1c(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)cccc1[N+](=O)[O-]
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,CCOc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cc(I)c(OCC(=O)Nc3ccc(C)cc3)c(I)c2)cc1C(C)C
