UMAP1,UMAP2,Dataset
-0.33767137,-2.4251168,g
-3.1123052,0.48465893,g
-0.78536177,-8.790334,g
0.41407755,5.28626,g
6.531147,8.741004,g
-5.70662,-5.6484756,g
-8.380884,0.002907673,g
-1.3129295,-5.5438957,g
2.2915585,-4.6858673,g
-6.101984,2.4899206,g
7.8246574,5.498201,g
10.2952175,0.0726328,g
-2.1485705,-10.468132,g
-7.628887,3.268971,g
1.9885153,-9.0637,g
1.4766384,-6.1923795,g
-3.1535978,0.4403488,g
-2.956161,-1.2291077,g
-0.57961017,7.5077906,g
3.213046,7.251903,g
-9.579464,0.019005347,g
-4.025503,0.6951,g
8.734262,1.7354528,g
-2.8230867,2.2938485,g
-2.5864255,-3.5651276,g
-3.4595723,9.586478,g
1.205073,6.2341175,g
6.5303664,11.6813545,g
-0.08291169,3.6113355,g
-0.53676206,-1.9674668,g
-7.950073,1.9446205,g
-0.9232343,-11.6495075,g
3.7509122,2.4712527,g
7.0117,7.0081415,g
2.0751085,0.39748305,g
5.6638656,-0.017449686,g
2.285612,0.9271898,g
5.81362,-2.4062526,g
-1.3107926,-1.0906063,g
-7.222215,-2.9414005,g
-5.9750624,-3.8032827,g
-5.920368,-9.009264,g
5.7380166,3.65841,g
-8.023464,0.07794716,g
9.224177,4.4903007,g
-3.7809916,-3.9243808,g
-0.17479838,9.056974,g
1.5738267,9.407957,g
0.6011615,-3.514505,g
2.7965164,-1.0968702,g
-2.8101695,2.7125828,g
-11.943884,2.0531132,g
6.140603,-3.0706432,g
-3.5599618,-7.854801,g
0.63738203,-8.010004,g
-8.282203,2.5663006,g
7.45079,2.0280364,g
0.45584404,1.6816108,g
-9.875164,2.9438794,g
2.720674,-1.7431977,g
-3.398551,-3.7526386,g
-1.4387989,3.649118,g
1.3597541,11.700764,g
11.414901,1.0605925,g
-7.90157,-1.7420894,g
-2.3889225,0.6996096,g
4.4193707,7.51345,g
0.22243626,-3.3184602,g
2.4764352,-4.750917,g
3.4370122,-0.89592475,g
11.201293,-4.874126,g
-5.2328396,9.431117,g
-5.127545,3.727601,g
1.3639436,0.5059305,g
-3.48008,0.32309198,g
-3.4279752,1.934506,g
0.40631756,-3.499888,g
7.3018723,6.650953,g
7.339321,2.2797418,g
-3.8349087,0.8221483,g
-10.955014,-0.71020705,g
3.091145,-4.43731,g
-2.1506984,-0.809493,g
5.43233,-1.5304431,g
-7.967697,-7.5703225,g
-5.3099365,-4.377812,g
-6.049104,-3.4292955,g
-3.0535161,1.3079056,g
-2.1078372,-0.8127023,g
11.644503,-1.4812616,g
5.0401454,-12.081179,g
0.15542416,-6.2325783,g
-6.1394477,-1.9528846,g
-1.5291573,0.63525045,g
-10.240235,-3.608777,g
1.6203873,-4.310294,g
8.084579,0.9354296,g
-1.0425198,1.5490143,g
3.609171,7.970014,g
-3.1839993,1.8105121,g
3.6411853,-5.878532,g
-12.834726,-0.1000339,g
-0.15748666,2.423616,g
-3.9592154,-3.9936612,g
3.164838,-8.996876,g
-2.8478801,3.111462,g
-2.371864,-3.512399,g
-0.70985776,3.835996,g
9.276498,-3.5540068,g
-5.086129,-0.6131501,g
4.398472,1.6046964,g
-2.2711017,-11.448007,g
-0.009171507,-10.361699,g
-12.45077,5.719136,g
-1.8537177,-2.3755095,g
2.0276668,-3.9659941,g
-0.6692784,0.1618751,g
-5.0435815,-2.0115714,g
-5.5868125,-4.711276,g
-0.222586,0.9059639,g
1.7123617,4.9738684,g
6.2673025,-4.932138,g
-0.31908992,-3.48156,g
3.7623084,4.890496,g
-6.91883,8.701098,g
-0.67399544,-0.7656459,g
2.7994735,-2.8746011,g
-3.9958932,1.5634515,g
-9.352476,1.403054,g
3.2352536,6.1776876,g
0.24427319,-3.208352,g
-0.9256429,-2.2640004,g
-8.700107,5.281677,g
2.9519584,7.4468246,g
-9.698701,3.6303225,g
5.878982,-6.8282566,g
2.190806,1.1606817,g
0.38570392,-2.1758204,g
1.6672393,-12.322925,g
6.6218615,-7.082624,g
-9.9594755,-3.479995,g
0.73855567,1.7228564,g
-5.973179,5.6548014,g
-5.9330177,-8.736047,g
-12.310994,1.5486857,g
4.11673,2.5152335,g
-5.566043,6.6600637,g
-3.44035,5.1189528,g
-9.073864,-1.6202319,g
-6.759672,-1.9553134,g
8.304025,-2.0961416,g
6.2011623,-2.966535,g
12.928671,-1.0174066,g
0.30742887,2.4911942,g
-0.5566447,3.0981622,g
0.79547966,3.72136,g
-8.357299,-0.10080141,g
-10.905562,2.019006,g
-3.9425855,1.5414747,g
4.307504,4.55482,g
-0.44288167,3.3716788,g
8.940569,-1.1500726,g
9.285086,5.2975903,g
0.6024106,3.4116163,g
-5.127175,-0.18122222,g
13.765522,-0.4681929,g
1.4164842,0.5100038,g
-10.421965,-6.9729095,g
-10.468162,4.4410496,g
7.878688,2.7105646,g
7.8509393,1.3215542,g
0.42627954,-3.7087383,g
-6.8443913,-4.526816,g
-2.0260732,6.32912,g
-2.2647078,-4.4178944,g
-10.912482,-3.3578997,g
-9.418579,4.249246,g
-0.6764573,-1.3060769,g
6.220683,-0.21449693,g
7.30626,-3.698377,g
-0.027858458,-3.5649815,g
-7.042152,-6.5919585,g
-6.2301345,0.42185682,g
-0.43411523,-2.2553349,g
-9.620865,-0.064964704,g
10.9942255,1.8252809,g
-8.059295,-9.25595,g
-4.1154695,1.9056401,g
-2.6332793,2.3333392,g
6.107275,-9.392973,g
3.3479578,5.8164277,g
2.38456,5.509299,g
4.4594374,6.064182,g
-7.131155,-2.6622412,g
7.6515174,8.96763,g
3.8478398,4.824099,g
-12.55809,5.2863135,g
-1.6598188,3.6912382,g
4.0313606,-4.9572077,g
2.233065,5.2822537,g
6.0116153,5.089111,g
-4.5460005,0.42632267,g
2.8602622,6.2435665,g
-3.5106266,9.59167,g
-7.086875,2.0360332,g
-0.74905837,-3.4620893,g
-5.9338536,-9.022173,g
5.108109,-8.116703,g
2.0915036,-5.2567883,g
-2.1686678,5.7225223,g
-3.5977707,0.7108497,g
4.9911413,1.1622343,g
5.0863867,12.563601,g
-11.120766,-5.179017,g
1.4923824,5.693612,g
-11.30649,-2.215822,g
0.8016054,1.2872392,g
-5.0459023,0.85294855,g
-7.1533537,10.486268,g
1.4785722,-8.417226,g
-6.5335155,-1.5848731,g
4.640944,-8.744225,g
4.745986,-9.844599,g
-9.735189,-2.2806492,g
6.1174736,10.755205,g
-6.178625,-2.624604,g
-8.459545,-3.2757716,g
6.265109,2.5981526,g
-8.835117,2.7497897,g
-9.203563,8.214714,g
-5.8360033,7.8125515,g
-3.893287,9.219791,g
-1.494301,3.0083964,g
-1.1481874,-4.794528,g
2.9435523,11.825191,g
-10.599334,-0.3558316,g
-4.012768,3.1402216,g
8.647186,4.3324156,g
4.222667,4.4874535,g
2.5887954,0.026833458,g
-1.8407716,-7.6884727,g
-2.681963,2.1111724,g
2.4464223,-5.166712,g
6.460065,-5.3951635,g
8.708788,-5.4030824,g
2.5376391,0.20957322,g
3.568049,0.23727511,g
6.179894,-0.13162982,g
0.2522131,1.7353059,g
11.343361,-4.237274,g
-3.8844202,-2.4594038,g
5.639961,6.6721883,g
5.671192,-2.240528,g
9.061497,-5.0969048,g
-0.14472231,-7.8715143,g
3.3574495,8.543561,g
1.1498026,-5.8816185,g
2.6097052,10.601153,g
7.5244813,1.7644514,g
1.6486685,-0.32247728,g
-1.1818584,12.882714,g
5.917003,-5.9689717,g
-8.639178,7.1145964,g
0.5764765,-0.2641605,g
-6.2286844,0.41115063,g
5.395393,-9.691452,g
8.2817745,1.6337777,g
-2.9641187,2.4629052,g
-11.948439,2.0567396,g
-3.8887527,9.207263,g
0.564493,-5.081068,g
5.1785235,2.6319897,g
-6.472035,7.311363,g
3.481673,3.4010754,g
7.524394,-3.8452446,g
1.1791893,3.0013392,g
0.81928873,3.7004616,g
-2.8475266,5.0371294,g
-4.0015073,-7.0522575,g
0.33781946,-1.1721276,g
-5.684919,1.3630583,g
-6.4635878,-2.3927069,g
1.3526074,-4.5692887,g
-6.91809,-3.2592168,g
-1.375151,-3.2297664,g
9.126459,-7.6837363,g
5.48258,-11.474836,g
-7.4554853,0.90537167,g
0.3938879,2.1401572,g
5.516706,-1.9454794,g
-1.4062518,4.2698073,g
5.212291,9.655891,g
-3.8132217,11.850091,g
-5.9330106,3.2837217,g
-3.1032894,-7.2274995,g
-12.536378,-1.7663431,g
2.0868244,6.6168394,g
3.3142085,-9.850753,g
0.1433437,2.8104732,g
3.4134784,1.3427559,g
6.858552,8.028122,g
7.759876,-1.5817914,g
0.26333317,5.1345515,g
-2.8473597,1.2185982,g
0.7303711,10.823282,g
-3.4402988,-11.310804,g
-5.6717653,7.9558473,g
4.7211256,3.960054,g
-10.118351,-0.9481926,g
0.7999675,-1.5808233,g
1.8754563,4.861982,g
3.2036786,4.9869156,g
3.1537156,4.217861,g
-1.3094893,-0.9784708,g
-0.6899704,3.3011055,g
6.0991282,-1.6217742,g
-4.290126,-0.60223997,g
-2.7330146,3.5973399,g
-2.8942668,4.6225815,g
11.19617,-2.756492,g
-0.017842466,2.3831556,g
7.869799,9.297833,g
-5.09247,-8.113129,g
-0.0013187166,12.118382,g
-7.535936,1.9385105,g
3.9831367,-3.8564394,g
-1.0244783,5.9453044,g
-12.391711,2.2439744,g
-5.1467743,5.843166,g
2.2441127,0.5414769,g
0.7344922,-4.6683717,g
2.873591,-10.110207,g
-12.834755,-0.09833506,g
-1.8290693,1.8265508,g
-12.317016,-1.47422,g
-3.6128328,0.19563498,g
-2.638273,5.9530272,g
5.35382,6.7022276,g
6.198007,-3.8470843,g
-4.6841207,7.4419928,g
2.2386632,-5.5005665,g
0.30998707,0.5433096,g
9.434054,1.7293301,g
-11.491717,4.0739355,g
-7.569064,1.8943574,g
5.644404,-3.760223,g
0.9546116,-3.7970188,g
2.1189191,-3.0187361,g
6.6380587,-1.4559779,g
-9.946059,5.4109693,g
6.1866927,-0.15002057,g
-8.093209,5.1990366,g
4.2838645,2.4223366,g
-1.0868031,3.1433651,g
5.170781,4.8658185,g
11.473065,-7.50326,g
0.86015517,-2.8192434,g
9.601023,1.1746862,g
-3.0095592,-12.012061,g
-5.6920323,-2.480623,g
3.3653228,3.4856353,g
-4.269217,1.1435683,g
9.20949,9.943602,g
0.42440775,0.99771065,g
-1.0408579,3.592957,g
5.022043,-4.9395137,g
8.000957,-6.8916783,g
3.7972987,4.8507776,g
-2.292175,1.7238244,g
-6.4161034,-0.38802433,g
2.1458716,-3.9574714,g
-8.682083,-8.900936,g
-7.114972,2.113615,g
-4.0659404,4.1961403,g
3.7440581,-5.4254793e-05,g
-1.2430197,3.355722,g
-1.2207046,-4.963003,g
2.2358642,-1.7346147,g
-2.400361,2.1582174,g
0.28341913,-9.736512,g
-0.6128799,-1.5258356,g
-8.34117,1.4151748,g
5.324204,6.6574197,g
