UMAP1,UMAP2,Dataset
-0.036642738,3.589417,g
6.4214373,1.103515,g
2.1121116,-3.2437127,g
-4.632774,3.5244298,g
3.1316826,-9.972066,g
-2.021182,6.0866437,g
8.793124,-1.3919166,g
-1.4439067,15.1875105,g
2.2191415,3.5379586,g
-8.905641,-2.4847786,g
-2.1942503,4.000748,g
0.888706,9.480988,g
-1.3064519,-7.736252,g
2.6835058,13.058269,g
-4.486625,-2.7393467,g
5.041118,6.6322722,g
6.5982914,1.2464647,g
0.6212726,-2.6620426,g
-5.0289693,7.829227,g
3.789789,-3.8236017,g
5.430499,12.622016,g
7.0046754,2.0659964,g
2.6482568,15.002283,g
5.631168,1.6066583,g
3.1322873,1.6176466,g
6.616775,-5.203797,g
1.6053919,10.027127,g
7.724598,12.903501,g
-2.0899436,1.9189284,g
1.422206,2.7086546,g
9.066258,4.022849,g
-3.4722097,6.913677,g
7.925333,4.43187,g
-6.6878905,-3.8858047,g
-0.075743616,-2.1560516,g
0.5824686,7.372626,g
4.6472573,6.3225746,g
1.25968,11.553397,g
5.08466,4.7938232,g
5.3714943,-4.4430847,g
-6.991661,3.685009,g
4.16274,-2.3807952,g
4.973938,2.5129676,g
-3.6521304,4.7283297,g
8.941879,12.030362,g
8.639834,-1.3623247,g
4.0035176,-0.968699,g
-6.486106,-1.3437818,g
1.04843,0.43221888,g
-3.6184175,-0.047404915,g
0.446601,5.549582,g
-6.7047086,11.490673,g
7.272921,-3.0457225,g
-5.5129886,1.7541786,g
4.6383166,9.229936,g
-4.5517945,-3.6808455,g
3.8515599,-5.1151667,g
-0.37093025,0.93231153,g
2.4683976,10.24849,g
1.7624542,4.5280266,g
-7.3184943,6.3072815,g
9.035566,6.2495546,g
4.1211243,16.137672,g
6.1350636,-6.440803,g
-5.659017,-2.055178,g
4.958282,1.1769447,g
-4.5556173,-0.99967986,g
0.023377521,2.555215,g
2.2909572,3.4071343,g
6.0762663,5.408521,g
6.7567244,14.173875,g
8.0457535,-4.2286096,g
-3.9925394,8.7641325,g
4.896248,3.039293,g
4.601339,4.0875854,g
6.430315,0.7166304,g
0.28194878,0.40830168,g
-6.028101,-2.013374,g
-4.440715,10.306986,g
5.24473,1.5025179,g
11.667189,0.16586933,g
-1.5225165,4.6888485,g
0.380624,2.0625978,g
-0.032607254,-6.581843,g
12.156193,4.3842096,g
1.2968735,6.285808,g
-1.185229,7.5913157,g
5.8509645,1.9058268,g
4.412225,2.6268551,g
-10.130145,3.746429,g
-4.721696,-5.8498607,g
10.723726,1.2640833,g
1.2956852,5.120087,g
4.497652,2.1147592,g
7.2147756,12.87577,g
-2.045869,-0.73816127,g
11.638907,-0.83393633,g
0.09234414,-0.19166672,g
-6.7355027,4.6585913,g
6.0210843,1.1693928,g
12.04257,1.5171598,g
-0.45327398,11.371183,g
-1.1229866,0.8585011,g
8.641445,-1.3198688,g
-4.102256,11.043477,g
0.45683414,5.54592,g
4.7615337,3.3162436,g
-2.4625497,2.1889026,g
-5.6680903,-0.18760145,g
7.107345,4.1861753,g
3.1994634,-1.0360526,g
8.261225,12.937414,g
9.738146,-5.7075686,g
2.7837265,14.41395,g
-2.2847056,3.2204704,g
-1.9480467,-0.23309872,g
5.573425,3.3025186,g
4.6928916,-2.9457908,g
7.1444087,8.401288,g
0.5568507,2.7905886,g
0.043888144,-4.450092,g
-1.3894739,14.490686,g
1.2251126,1.1477493,g
-3.510679,-6.116746,g
-2.7362487,-7.6944213,g
4.881803,5.151476,g
2.2287107,3.9986167,g
7.3363013,1.9623293,g
11.0857525,9.345332,g
-5.6519866,2.6895025,g
0.8231785,1.3569723,g
-0.20505568,-0.026039835,g
10.535327,7.5049157,g
3.71206,-3.55605,g
0.7394106,-2.478959,g
3.2805693,13.170971,g
-2.1458192,4.924936,g
3.4209964,3.432762,g
2.0166326,-2.1589718,g
-5.6772647,8.768666,g
-8.296031,0.39246783,g
1.0360378,-0.0004737312,g
-3.7347875,-4.343581,g
-8.283824,7.0184946,g
9.394013,-7.1132445,g
0.63191205,-5.098193,g
-11.269249,0.4170292,g
3.3980377,7.7394867,g
-2.1550162,-4.656378,g
10.458861,2.2320454,g
-2.405801,10.492989,g
7.2678137,-3.0393567,g
1.9601314,-8.584126,g
-1.0002604,0.7079926,g
-1.7680306,2.7266045,g
7.0959253,-0.3331942,g
-5.8578415,0.31537163,g
7.4019814,9.150609,g
6.2291374,1.877373,g
8.383371,0.008095735,g
-2.3390684,1.6824459,g
10.754025,4.3529267,g
-5.0003886,-3.8435605,g
-1.3856965,-0.26830333,g
1.7412096,-3.2740123,g
3.4440713,9.640334,g
0.68119556,-0.7697263,g
3.266227,-6.6722445,g
-5.811197,-2.9834917,g
-3.88605,7.634521,g
7.7392616,8.846045,g
0.14527456,1.6957507,g
8.157978,9.580221,g
-2.796625,6.055556,g
10.614268,0.34493986,g
4.9964614,-0.52752864,g
6.3783307,6.6275625,g
5.8061857,4.274855,g
2.1112337,8.647311,g
-1.4125654,5.2161646,g
1.072738,4.7542796,g
-6.554714,-1.8758862,g
4.650923,-6.4636154,g
0.5568743,3.6849227,g
5.279729,12.662087,g
1.5775921,16.984335,g
-9.019062,1.1811587,g
7.192006,2.4639332,g
4.305172,1.6284571,g
8.519499,-2.7669492,g
1.2883712,13.4700575,g
10.338048,-1.6428187,g
-3.2720566,1.0587006,g
5.506237,-4.451977,g
10.3563795,-5.7033377,g
-3.4930775,-6.149288,g
13.354918,8.831407,g
-2.9992201,2.4449558,g
2.3374379,-1.5234939,g
5.858692,-2.9719033,g
-1.5311294,9.63342,g
1.5392596,4.1801805,g
-3.3309968,10.306705,g
6.606701,-5.2889624,g
-8.042309,2.9674294,g
-0.51978195,3.9227314,g
4.173247,-2.3801272,g
-7.5268593,9.089211,g
3.3366852,10.429609,g
8.4878435,1.4537162,g
6.5495167,2.5223851,g
2.9615462,9.2944,g
-5.406003,-8.643165,g
-9.827399,-1.7634274,g
3.3356712,11.296448,g
-2.6298761,9.787131,g
0.15257278,1.1230505,g
-3.3246768,4.0437365,g
6.6166315,-7.715218,g
6.5291176,14.361865,g
-5.288803,4.8749866,g
3.5945418,7.6250963,g
8.071792,-2.2972934,g
6.9666395,9.843355,g
12.972324,-2.445191,g
5.6043344,11.779598,g
8.74673,-2.9067037,g
7.252862,-3.7816951,g
4.4365864,-7.2806,g
-1.5387242,-4.4655232,g
9.3759,8.906029,g
-8.486874,-4.8823223,g
-1.7749984,1.588505,g
2.512343,3.3767908,g
1.2161988,-7.374574,g
6.6874795,5.476095,g
4.7570715,0.13394976,g
8.494591,1.2963074,g
8.579889,0.027176328,g
4.9407935,5.842053,g
0.4088821,6.6796317,g
5.5275545,1.7142893,g
2.1250935,0.8755962,g
-4.6655583,2.0784552,g
10.755153,9.889512,g
3.857344,-0.865031,g
7.6799,0.8019457,g
1.9838668,8.47032,g
-0.59974194,1.064407,g
-7.8039956,6.909085,g
1.5678812,6.7714477,g
11.444228,1.0996486,g
5.834805,-4.7167225,g
0.5661487,3.432639,g
-5.737051,4.836415,g
1.0581343,6.7259035,g
-3.4447598,3.8404918,g
6.7467356,-4.196515,g
-0.717127,-1.5433023,g
4.4023733,-1.1111159,g
-1.8736286,10.473571,g
5.951425,-1.35624,g
4.700936,-5.0231147,g
0.5471198,0.87979454,g
4.651969,-6.4570837,g
-7.194935,-0.39522913,g
-8.688422,2.0608788,g
5.609148,1.7053448,g
0.3472865,14.482929,g
-8.482856,-4.879082,g
-1.4737525,3.6240916,g
8.5692005,13.210027,g
-3.2228234,8.197307,g
-0.12595485,10.3761835,g
-0.05568591,8.652253,g
-2.4374511,0.16920206,g
7.0701303,-0.33915314,g
-3.7148516,-1.4046965,g
-4.441347,6.5958347,g
3.9921138,3.8924897,g
-4.027552,8.670339,g
5.2356157,-2.0835063,g
-0.54654574,2.9730046,g
9.2753105,3.1965063,g
5.1235557,5.3638415,g
7.7696905,0.88586545,g
0.10443071,14.053096,g
9.9830675,10.933547,g
-0.6972063,0.6326216,g
-2.2612984,-1.2638261,g
1.2613934,-0.034867678,g
-6.8687553,-4.2197204,g
12.264973,6.166739,g
-1.360635,8.149053,g
-1.6762525,7.914425,g
8.660067,-0.67791075,g
-4.4814763,6.6126957,g
-0.5914689,13.3604965,g
-1.1097671,-0.12397693,g
-2.0489402,-1.8381692,g
-6.571299,-4.0863075,g
3.0629263,-3.2531803,g
-4.6858172,2.940404,g
5.7805347,1.1486439,g
0.20888653,-9.549699,g
-11.052214,2.2084007,g
9.369186,8.981942,g
9.111371,-2.3515067,g
-6.255206,12.729494,g
3.6169336,4.190727,g
4.6702065,-2.990816,g
8.897788,6.3608766,g
-0.022338424,6.2317767,g
5.1564503,6.2165856,g
-2.201251,2.427682,g
2.4649682,0.32264546,g
-11.0534315,4.8969445,g
-3.381501,2.8120189,g
2.543649,13.887142,g
0.39067015,3.9674592,g
-1.1105015,0.73878205,g
6.1547976,14.055716,g
2.8316004,10.472664,g
-2.2745762,14.674987,g
-0.21030568,-3.9074693,g
5.9495573,-1.9279976,g
-5.012192,3.228647,g
7.6081886,-8.193523,g
-7.1114235,3.9638085,g
5.4313436,6.249997,g
-1.1483915,3.139215,g
-4.8633156,-4.1117883,g
-0.45646578,11.377508,g
6.1799746,1.5530187,g
0.23690334,11.296957,g
9.229802,5.409375,g
-2.466943,6.4088225,g
5.1998134,9.511648,g
-0.12620507,-4.5555124,g
4.638518,8.229309,g
-0.6965687,3.5285697,g
0.21887445,1.8827978,g
10.182295,2.8820717,g
-10.241511,4.079983,g
-0.31148553,-3.9465184,g
9.242093,-0.09434172,g
-0.3511569,2.2371576,g
2.3720887,5.1333723,g
7.5504317,6.60032,g
2.747148,-3.5261092,g
1.9981774,8.596138,g
9.270967,5.4416337,g
0.6998887,-5.1630144,g
-1.8801357,1.9560202,g
-7.5812855,12.398918,g
-8.475406,-6.585683,g
-0.48346356,0.19515708,g
5.315409,-5.8076057,g
8.205403,-5.830896,g
10.193681,-2.0977547,g
-6.74961,-2.3782291,g
7.1544847,1.2564635,g
8.209515,11.242166,g
-0.45615366,0.02647733,g
-2.1795228,2.781837,g
0.10206575,11.173969,g
2.7081776,7.630427,g
-3.4827394,-6.165337,g
5.5837536,0.24991135,g
11.576062,2.5067816,g
-2.1412215,-0.32676974,g
14.573177,-0.34284306,g
-0.8993307,-3.7406886,g
3.2008412,-7.8798733,g
4.152877,6.832929,g
-2.824687,1.6879395,g
2.4207442,3.2031624,g
2.6928773,3.900285,g
5.9604387,1.2526314,g
7.7684755,-4.148206,g
4.386774,4.377486,g
12.612381,5.1177306,g
5.1593056,9.475177,g
-0.77002877,0.88289165,g
9.144513,1.5829777,g
-0.63332194,0.54573196,g
5.441493,1.8305784,g
-1.4828838,5.673976,g
2.981756,-2.730925,g
1.9844344,9.869774,g
-4.953783,5.0362015,g
3.528785,3.319222,g
5.2083154,8.161047,g
7.5267525,6.5581994,g
0.5418368,-0.12564899,g
-0.85198694,2.2208128,g
0.31638435,-2.935676,g
-10.927049,3.4288292,g
3.7112648,2.8969228,g
2.42918,-4.0189595,g
-8.185196,5.315492,g
