UMAP1,UMAP2,Dataset
2.5940576,0.040019885,g
-1.5488224,-0.38774917,g
7.0304976,4.8466263,g
-5.17909,-3.1463253,g
8.74453,-4.8923225,g
0.27767834,5.4792643,g
6.8502054,5.005793,g
2.1450138,-8.417383,g
1.6338454,-2.6386478,g
-6.6031194,7.3194337,g
2.0049632,3.4413047,g
7.474255,-2.2055943,g
-5.5526953,-8.893025,g
-2.235438,-9.159763,g
8.264939,-5.960829,g
-3.7887073,2.3238208,g
-1.7163901,-0.44976276,g
-1.945886,7.416437,g
-5.5130982,1.8944628,g
-8.967786,-3.3889184,g
-3.6591547,-8.63866,g
-1.2189461,0.11163582,g
7.377969,-6.1505685,g
-2.0163572,-1.3870136,g
6.661895,6.844833,g
1.3067989,-6.0241776,g
2.1632497,6.949318,g
1.257502,12.715084,g
1.8370061,1.4326601,g
2.1497972,-0.9553858,g
-2.0714614,-10.618468,g
-1.467311,-11.171327,g
3.885346,-1.1185138,g
-5.8218126,5.622293,g
-4.307471,0.43938112,g
5.5596237,-3.5715878,g
-4.8048363,-0.44803542,g
-7.094491,-6.2791486,g
2.0394912,-4.4475718,g
-8.923628,3.945901,g
-2.229363,3.684851,g
5.2302823,2.9250283,g
-1.5054014,-1.9686613,g
0.15193588,6.2866087,g
-2.2291093,-10.112422,g
4.188894,5.0534854,g
-0.21489607,-8.58605,g
-6.6592937,5.7264476,g
0.63693357,1.4598851,g
3.410915,-1.0736911,g
4.526458,1.5912274,g
-5.355378,-10.3800535,g
-7.840597,-1.5991292,g
-6.0209293,4.570016,g
-8.34683,-0.88204306,g
-9.848711,-6.1717525,g
7.8302917,7.7455215,g
1.6301394,2.6605752,g
5.7732635,4.1356773,g
0.61140037,-3.4139936,g
-6.858161,-0.9268069,g
2.6850035,0.42686972,g
-12.929115,-4.640225,g
-5.324454,9.781584,g
-6.919684,5.208436,g
-3.1248395,-1.3612556,g
2.3381548,5.245478,g
2.1766744,0.12619083,g
1.4948003,-2.8255353,g
1.9840665,4.9882283,g
-9.1897135,-3.8575923,g
6.543003,-6.1805177,g
7.986164,0.37346348,g
11.711973,-4.9076543,g
-1.3260303,-0.60477,g
-3.000239,-0.339841,g
0.8919873,0.68722504,g
-6.099014,-3.4570694,g
-1.4738753,11.413517,g
-1.1729525,-0.31838822,g
0.35545087,3.2212164,g
5.2453055,0.72533786,g
2.7902837,0.9658311,g
-6.853512,-6.8940063,g
10.62581,0.88631254,g
-6.4076242,0.059211448,g
-2.643162,3.7643619,g
-1.837476,-0.72559804,g
-0.6751245,-0.5829455,g
1.1442178,10.523973,g
-4.302141,-11.676373,g
1.4243935,7.036224,g
-6.7044244,1.4926491,g
-1.4132196,-2.7944329,g
-1.689303,-12.460991,g
-0.2967682,1.4379947,g
1.8106289,-5.516814,g
-2.7543128,-3.1666675,g
4.8632307,3.0342674,g
-2.8830636,-0.05566763,g
-3.21763,-8.804184,g
-3.6829443,-6.214099,g
2.099733,3.308231,g
4.1771903,5.0669675,g
2.4091344,-10.08625,g
4.5719457,1.6427395,g
-1.4512062,-2.2680268,g
3.1845253,3.1374993,g
-5.6048503,5.729498,g
6.1886196,3.3759565,g
-2.685488,-9.94315,g
11.336431,6.3055196,g
-4.2096987,-10.1328335,g
2.284922,9.657491,g
3.27275,0.607031,g
-0.044891633,0.7853693,g
-1.3699436,-2.9554956,g
-6.289144,3.0051825,g
6.406336,-0.32635164,g
2.564435,-0.098997615,g
-1.5004553,6.1262217,g
3.702357,-9.721062,g
1.0450897,1.096144,g
7.319401,4.132999,g
-7.4137444,-0.57576245,g
0.33218315,-1.5702225,g
0.6764221,-2.9107306,g
-2.7313998,0.60682464,g
-2.445608,-6.952367,g
2.015886,7.683616,g
1.0789946,0.5065072,g
1.3692952,9.003683,g
6.064629,-6.954444,g
6.179677,0.7784737,g
-8.01357,2.7905762,g
7.7777333,4.7938185,g
6.9744353,-5.0763726,g
0.6038187,-2.288643,g
0.288995,11.670388,g
-0.15761419,11.617203,g
3.8741605,-5.5826683,g
1.2308286,1.6115886,g
-5.865586,1.7218162,g
1.6335785,9.199175,g
5.536559,-7.050865,g
0.66779023,7.0453005,g
-8.725447,2.4056094,g
-3.7431424,4.978157,g
5.783235,-5.1069694,g
0.50483996,-5.70585,g
4.906084,-4.505207,g
-7.8350973,-1.5938088,g
-13.20331,3.7265387,g
1.8354473,2.550983,g
2.647857,1.8198637,g
-7.9265256,2.6339881,g
4.17326,-4.77243,g
-6.7083545,9.727108,g
-2.1601357,-0.7578812,g
8.52765,0.56093407,g
2.8416293,1.9429264,g
6.216637,-5.798236,g
-0.42395353,-11.772158,g
-1.5003413,2.4944098,g
-2.3249595,-4.413955,g
5.0545926,1.5901711,g
-5.268962,-4.590677,g
5.8722143,9.224525,g
-4.6790986,7.461315,g
3.4377718,4.647007,g
6.0559607,-6.0835047,g
4.067075,0.8369129,g
7.9806705,-4.076949,g
-0.20776059,4.5862164,g
-6.7548456,-3.7252681,g
