UMAP1,UMAP2,Dataset
-0.983182,-4.663554,t
1.1536939,-3.4779043,t
3.320158,-0.8930305,t
2.7272844,-1.0769567,t
2.8018043,-1.1218476,t
2.8014867,-1.1240845,t
-2.2430553,-4.2916317,t
-0.20430644,-3.0708344,t
2.6510196,-0.9008589,t
3.2763412,-0.7222853,t
3.3791296,-0.6142137,t
3.1758058,-0.7343633,t
-0.62655544,-1.7441587,t
8.530783,-7.3567657,t
3.170312,-0.7780069,t
-1.3453242,11.881233,t
-0.22069941,-13.680448,t
-13.420173,0.8526971,t
-13.442035,0.8597268,t
-13.449647,0.8619346,t
13.023978,-4.7952814,t
4.3567014,8.852731,t
4.284577,8.820377,t
-0.23319542,6.7174983,t
-0.23634557,6.724446,t
4.333415,8.8184,t
4.268608,8.8062725,t
-2.5569239,-1.4157563,t
2.675157,-0.8225016,t
-13.397156,0.83617467,t
-10.58934,-5.401323,t
9.704987,-4.802515,t
1.2742758,-3.6179218,t
-2.5097148,-1.4271336,t
10.440467,7.1709857,t
10.440022,7.1718297,t
10.440163,7.171812,t
10.440273,7.1719613,t
3.4395213,1.4685634,t
-11.563658,3.942078,t
-11.566406,3.939126,t
-11.566702,3.9383554,t
-0.03376241,-5.530707,t
-0.034009345,-5.530021,t
-0.03132414,-5.530874,t
4.8856854,0.2551679,t
4.896511,0.25899985,t
-0.030620497,-5.531777,t
-0.024991995,-5.5206857,t
11.580432,2.0137396,t
13.0247965,-4.795202,t
13.024679,-4.795366,t
13.024983,-4.7953196,t
13.024481,-4.795547,t
13.024072,-4.7960577,t
13.025092,-4.795338,t
13.027547,-4.7951093,t
1.2648083,-3.1550539,t
-2.050845,-3.071123,t
8.528566,-7.3559623,t
-10.615361,-5.438107,t
9.451033,-1.6505724,t
9.451839,-1.6495483,t
8.46481,-7.349023,t
1.0328258,-13.634479,t
1.0329108,-13.63364,t
1.0328667,-13.633512,t
1.0328746,-13.633627,t
1.0328705,-13.633872,t
-2.3399599,-3.3932989,t
-2.3476808,-3.406634,t
-1.3432593,11.884416,t
-0.28436407,-1.0781108,t
-2.0786772,-1.1044908,t
-4.444174,-0.39853752,t
2.5853646,-1.3595675,t
2.578056,-1.3252089,t
-9.885394,-0.3757133,t
1.5205663,-1.687737,t
8.488313,-7.3780017,t
4.259036,8.803733,t
2.9887345,-0.5805908,t
3.1675186,-0.6270672,t
-2.2455838,-4.3131175,t
10.679182,-3.0767775,t
10.699263,-3.0597646,t
-2.650359,-0.5665686,t
-2.6706617,-0.5108754,t
1.6488245,-1.8025188,t
-0.026945753,-2.0255036,t
5.57934,7.20988,t
1.5874524,-1.7302383,t
1.5915632,-1.7405012,t
-13.450212,0.861939,t
-1.3470227,11.881694,t
-1.3467078,11.881654,t
-1.347212,11.88199,t
11.581474,2.0152106,t
0.5217441,-3.7595215,t
4.3873386,8.864995,t
4.2617426,8.801713,t
8.491196,-7.3791003,t
-9.090524,-8.273148,t
8.482709,-7.374273,t
-9.090461,-8.273183,t
8.48346,-7.3740563,t
-9.090485,-8.273015,t
11.579694,2.0129523,t
-0.9232366,-2.306795,t
-10.564318,-5.3773804,t
0.56304955,-3.7209334,t
3.0945473,-0.65845466,t
3.0647159,-0.6102021,t
-1.1856561,-2.215557,t
-1.1853553,-2.2284355,t
-1.1895806,-2.184855,t
11.582305,2.0164573,t
-1.1745876,-2.216701,t
3.1550465,-0.7057642,t
2.7784922,2.230497,t
-7.41223,-0.28748405,t
10.693583,-3.072257,t
10.693685,-3.0935497,t
10.676268,-3.0803413,t
10.698497,-3.0625186,t
4.2585497,8.803698,t
3.059356,-0.63823605,t
3.100501,-0.6608099,t
5.58133,7.211627,t
3.9207723,-11.74802,t
3.9207077,-11.748288,t
3.9210134,-11.748404,t
3.9208844,-11.748457,t
-2.7805853,-2.3496983,t
5.0255036,-2.5148308,t
2.008512,-9.415426,t
0.17374668,5.1928883,t
2.5544388,-0.8126377,t
0.26370588,-3.3976657,t
2.8219047,-0.95034534,t
-2.1233628,-2.7735684,t
-2.1157105,-2.741081,t
-2.1542091,-2.6961389,t
-2.1327066,-2.6996834,t
4.5578527,8.896347,t
4.627934,8.919719,t
4.2599645,8.803896,t
3.2855744,-0.8698755,t
3.1740253,-0.70600575,t
-13.397875,0.828686,t
3.171718,-0.67416644,t
8.53813,-7.3561964,t
-1.1059498,-1.7235311,t
-1.0975922,-1.7414756,t
-1.0959005,-1.7441931,t
11.58274,2.0178144,t
-1.1089804,-1.7121973,t
-0.90317965,-1.9813333,t
3.2441235,-0.6403348,t
3.1684582,-0.7169841,t
10.64186,-3.0763247,t
10.660979,-3.1022995,t
4.4511023,-1.0283209,t
-3.3082092,5.2492437,t
-10.615305,-5.439195,t
4.614113,8.913659,t
4.577615,8.900863,t
4.6357856,8.919324,t
3.289707,-0.8674883,t
4.3438663,8.839531,t
4.26789,8.812232,t
2.7534251,-1.0056344,t
2.8236086,-0.97109926,t
2.8246481,-0.89179784,t
2.772564,-0.9123749,t
-13.386081,0.82966536,t
-13.391389,0.832643,t
-1.496553,-2.3492856,t
1.1054112,-2.6332436,t
2.7566671,-0.9893539,t
11.190048,-3.567508,t
0.42446393,-3.6037798,t
-1.0575831,-1.7822708,t
11.580837,2.011273,t
3.2395248,-0.888721,t
3.2978475,-0.71355915,t
-1.0807233,-1.837399,t
-0.6863578,-0.70267445,t
8.421466,-7.3304605,t
11.597494,2.5289447,t
11.598905,2.5313656,t
2.1180844,-1.8341656,t
11.580025,2.0126877,t
-5.772173,11.893784,t
11.653004,2.081661,t
11.605148,2.0416157,t
1.0322185,-3.0292222,t
-0.31794524,-1.1951888,t
1.5389774,-1.7280091,t
-13.445272,0.8616641,t
1.179562,-2.4227982,t
5.134392,8.897324,t
-1.8072321,-5.0772233,t
-0.9560962,-1.7975291,t
4.4554462,-2.7061148,t
0.29780528,5.18285,t
11.581099,2.0106206,t
5.1228547,8.897374,t
5.1001496,8.896717,t
5.1245728,8.897591,t
1.4980295,-2.2364428,t
4.371074,8.850479,t
4.3745017,8.852202,t
4.3716226,8.852597,t
-9.6216755,-5.5333467,t
4.3999534,8.84541,t
4.4071555,8.85892,t
1.1002558,-2.3863528,t
1.483076,-2.2373962,t
-13.413776,0.8429352,t
5.150717,8.896175,t
4.9957733,8.898709,t
5.0334377,8.89218,t
5.0152073,8.891601,t
4.499248,8.869009,t
4.4048333,8.8655205,t
4.379246,8.857533,t
4.6421742,8.917704,t
4.6204085,8.9171915,t
4.580482,8.89953,t
4.611773,8.917722,t
4.392577,8.870294,t
-2.753983,8.225761,t
6.775935,1.8388906,t
4.365068,8.84781,t
4.400366,8.865712,t
4.396291,8.865897,t
4.4183784,8.872376,t
4.37495,8.854183,t
4.399807,8.8704195,t
4.3888035,8.864423,t
4.625672,8.9286785,t
4.3755045,8.856349,t
4.38316,8.862377,t
4.395689,8.862849,t
4.3991284,8.865223,t
4.3986373,8.863793,t
4.444322,8.884965,t
4.3363104,8.832534,t
5.4913774,8.8975935,t
5.4691334,8.903416,t
5.4670258,8.902322,t
5.46225,8.900484,t
5.4829106,8.896369,t
5.4623375,8.899843,t
5.4685674,8.903552,t
5.468268,8.903483,t
6.0562844,8.7936,t
6.114005,8.783485,t
5.4560924,8.899764,t
5.4330716,8.897962,t
6.161349,8.776751,t
4.339627,8.830156,t
4.3752985,8.820821,t
4.367874,8.8446,t
4.3359346,8.823995,t
4.3780923,8.860849,t
4.1810474,8.730278,t
2.760176,-1.0828347,t
-13.38938,0.8315475,t
2.7106056,-0.5570708,t
-13.388086,0.83259225,t
-13.394115,0.8349602,t
-13.391725,0.8337701,t
-13.398543,0.8372269,t
-13.394671,0.8346213,t
-13.393392,0.8352677,t
4.181955,8.731462,t
4.1922894,8.736462,t
4.190792,8.738757,t
-13.385442,0.8340574,t
1.265294,-2.4228878,t
-1.8019462,-5.080623,t
13.660741,0.94422954,t
11.5800295,2.012247,t
3.3422077,-0.73018163,t
13.66275,0.9467006,t
11.584137,2.01731,t
11.588683,2.0148282,t
1.4675865,1.4465834,t
5.5817146,7.2139087,t
11.581186,2.0126548,t
4.2644362,8.793687,t
1.6115469,-0.5896074,t
4.257582,8.806537,t
4.2702827,8.810333,t
-2.7570527,8.225511,t
6.7804027,1.840456,t
4.268031,8.809861,t
4.2640758,8.8119135,t
4.2678366,8.8036,t
4.263711,8.803241,t
4.265752,8.798661,t
4.260715,8.801954,t
4.2697444,8.810111,t
4.2458906,8.799662,t
4.26115,8.802171,t
13.667049,0.9518453,t
4.27192,8.807443,t
4.2603054,8.798215,t
4.2417,8.811297,t
4.24093,8.811025,t
4.2429237,8.811209,t
4.244203,8.809535,t
4.242789,8.817574,t
4.2406926,8.809702,t
4.248088,8.815508,t
4.264591,8.805848,t
4.260178,8.808865,t
4.2589116,8.81094,t
4.3028455,8.8096895,t
4.262965,8.801828,t
2.715056,-0.53939134,t
4.26944,8.780263,t
4.2644157,8.800278,t
4.267496,8.803427,t
4.2619853,8.802459,t
4.258228,8.779298,t
4.279001,8.798273,t
4.2727704,8.799188,t
4.261386,8.807861,t
4.2683964,8.810784,t
4.184789,8.731571,t
4.194154,8.740507,t
4.207477,8.756949,t
4.256944,8.793311,t
11.582391,2.0147846,t
5.569697,7.2232833,t
0.7544131,-3.7242858,t
9.932082,-2.9205885,t
1.6200112,-0.602501,t
11.586707,2.02037,t
-1.2125884,-2.0841885,t
11.589006,2.015734,t
11.585323,2.0159047,t
11.652631,2.079553,t
11.637442,2.065199,t
5.586624,7.217599,t
0.7474767,-1.683474,t
4.255875,8.784929,t
4.2601805,8.796616,t
0.8893157,-2.6293032,t
4.299796,8.797627,t
0.890241,-2.7794886,t
2.8193407,-0.883211,t
2.8032482,-0.8574854,t
-13.44615,0.8618533,t
3.3196695,-0.883161,t
3.3160849,-0.6970353,t
11.58079,2.0125306,t
-1.2820165,-4.9441814,t
2.7250721,-1.1117958,t
-4.679165,-0.008347315,t
2.768999,-1.1195135,t
-0.038333997,-0.7312612,t
11.580524,2.0143642,t
3.2620711,-0.89000916,t
0.632725,-1.7651364,t
3.3650124,-0.7689564,t
1.2374675,-3.0220356,t
3.368417,-0.70783895,t
4.9805784,0.29345003,t
5.030062,0.29917237,t
4.9599953,0.2730293,t
4.973001,0.2786932,t
5.019681,0.27967766,t
-2.7542794,8.222876,t
-2.774542,8.223035,t
6.7751803,1.8389779,t
6.780022,1.8338791,t
-2.5543513,-1.4137981,t
2.6487978,-0.8307613,t
-0.9690869,-1.5711936,t
3.240809,-0.7723557,t
2.7998793,-1.1456882,t
-13.449918,0.8658403,t
2.7990386,-1.1327814,t
11.598357,2.528957,t
9.456791,-1.6382806,t
11.596508,2.5267944,t
11.593935,2.5156522,t
-0.8739945,-3.7550945,t
10.667119,-3.095281,t
10.672609,-3.103359,t
10.663439,-3.0926692,t
10.63132,-3.145215,t
10.668226,-3.0992858,t
10.678904,-3.1024563,t
10.666117,-3.0976298,t
10.689344,-3.0967305,t
10.676985,-3.0984182,t
10.693052,-3.0966387,t
10.674651,-3.0787036,t
10.681018,-3.0669947,t
3.3723195,-0.72655267,t
3.3475296,-0.7259892,t
8.537305,-7.355207,t
8.463382,-7.350984,t
-1.614388,-2.392444,t
1.1444106,-2.926352,t
1.1438332,-2.9490445,t
1.1192096,-2.984112,t
2.7442932,-1.009817,t
-13.447973,0.862475,t
2.7936664,-1.0367488,t
3.4091146,-0.88188887,t
3.3596869,-0.6869381,t
8.494254,-7.384232,t
2.7305996,-1.103049,t
2.7821565,-1.0785403,t
0.856947,-3.9726965,t
3.4328353,-0.8968532,t
3.3926582,-0.75807124,t
3.4129877,-0.87496865,t
-1.293032,-1.4797698,t
-0.6694844,-0.862459,t
3.3880816,-0.8869474,t
3.350595,-0.69630045,t
1.6964809,1.5225862,t
1.7013558,1.527284,t
2.731658,-1.1329654,t
-4.6849194,-0.0060561527,t
2.7869875,-1.0642655,t
3.3948135,-0.89206386,t
3.3324537,-0.8956588,t
3.3357804,-0.72551626,t
8.467736,-7.401739,t
8.4851055,-7.3916717,t
8.483322,-7.3833275,t
-7.4018545,-2.172272,t
11.603168,2.0043595,t
-1.1137159,-0.96324235,t
-3.706388,8.759384,t
5.573484,7.200989,t
-2.673165,-0.91418886,t
-3.1636908,0.12064285,t
5.579438,7.207681,t
11.588018,2.017522,t
1.4256958,-2.4234593,t
5.58102,7.2164345,t
5.574854,7.2033534,t
8.538246,-7.3562145,t
8.538914,-7.3562927,t
8.538595,-7.356197,t
-8.389944,-3.286654,t
-5.1080804,-8.585388,t
-8.436866,-3.2805002,t
0.5006582,-2.5573087,t
9.71198,-4.809736,t
0.5205615,-2.542976,t
0.5214328,-2.5461967,t
-10.616389,-5.43918,t
13.663655,0.9475748,t
-10.612367,-5.435221,t
-10.614725,-5.438267,t
13.664179,0.947955,t
13.66432,0.94806266,t
13.6641865,0.947843,t
1.0117835,-3.250204,t
-5.50861,8.440397,t
-10.610068,-5.431524,t
-10.587497,-5.431297,t
-5.507044,8.440232,t
-11.524035,-5.7117825,t
-11.524863,-5.711972,t
-11.52825,-5.7134156,t
-1.3874824,-2.9525135,t
