UMAP1,UMAP2,Dataset
1.196009,1.9644539,t
0.58283895,2.5708919,t
5.733735,5.4462585,t
-0.09099635,7.9878993,t
-3.665941,-0.047280174,t
-3.6426175,-0.035697784,t
3.4326925,6.0856113,t
3.4308248,6.0654197,t
5.956483,5.712416,t
-3.4131613,-0.4493926,t
13.2270565,4.9316845,t
5.863901,5.4437766,t
0.81229216,2.3874006,t
13.313808,2.790486,t
5.8234296,5.474105,t
13.315081,5.020241,t
12.165514,2.7560315,t
-6.219742,14.466753,t
6.371487,-9.844882,t
6.371474,-9.845,t
12.014389,-4.6136465,t
-12.334367,1.2341197,t
-9.944064,10.387676,t
1.6948107,9.304402,t
-3.503623,0.5086994,t
-12.340009,1.2309269,t
-6.986745,13.447762,t
6.0607405,5.7295294,t
-3.5225933,-0.03543349,t
-6.2199497,14.467015,t
-7.0939484,-0.5795611,t
13.326934,5.014381,t
-4.303199,1.7877483,t
6.061829,5.6577625,t
-7.106779,-0.5671131,t
-7.132148,-0.53281504,t
-7.106306,-0.5664259,t
-7.1110435,-0.5649296,t
-2.0013454,4.0603523,t
2.591859,11.380579,t
2.5799038,11.403735,t
-3.8543,1.2366008,t
-3.8990057,-9.797654,t
-3.8997025,-9.798074,t
-3.899964,-9.798814,t
5.675686,5.970902,t
5.6367965,5.980794,t
-3.8999643,-9.798385,t
-3.9045546,-9.799478,t
13.33242,5.016839,t
-3.900336,-9.798526,t
12.014944,-4.6134624,t
12.014953,-4.6134377,t
12.014939,-4.6129975,t
-2.877239,16.233337,t
12.015773,-4.6141915,t
12.015534,-4.614777,t
3.0907288,4.12983,t
3.6542714,2.3635635,t
-7.0805593,-0.5838689,t
-12.454438,1.3158042,t
-10.632617,-1.2527465,t
-10.632265,-1.2525314,t
-7.0810246,-0.58405405,t
7.358323,7.8073573,t
1.5289359,-4.09046,t
1.5217857,-4.101268,t
1.5293994,-4.0883036,t
1.5328449,-4.0838737,t
0.41484466,4.0295825,t
0.38666028,4.0784287,t
-2.8767428,16.233519,t
2.3304708,-1.4050112,t
0.90469855,2.1743538,t
-3.5784369,5.190819,t
0.5921591,2.2659993,t
0.6716652,2.262629,t
7.8312626,4.413785,t
3.4130702,5.146006,t
4.325304,-2.2691066,t
-9.943082,10.38896,t
5.889126,5.343785,t
-3.3662088,-0.40464026,t
3.5912411,3.2839572,t
-5.2986674,-6.0081253,t
-6.2333336,-3.1044672,t
4.2634177,2.0750887,t
4.2933383,2.072546,t
3.2877653,5.217098,t
-0.04326001,2.2509365,t
13.238751,4.937364,t
3.4572883,5.1189528,t
3.4699004,5.0969577,t
6.3708715,-9.845597,t
13.31767,5.017189,t
13.31532,5.0205073,t
-2.8763225,16.23597,t
13.334858,5.003459,t
-0.020818997,2.953984,t
-12.334732,1.2339517,t
-9.94328,10.388974,t
13.310619,2.7877834,t
-3.4829764,15.418322,t
13.309056,2.7878258,t
-3.483102,15.418535,t
13.316703,2.7734447,t
-3.4830043,15.418404,t
13.3316555,5.005381,t
0.7140299,2.9168417,t
-7.0900526,-0.58944315,t
-0.11903767,2.4469156,t
5.9195623,5.4375973,t
-3.3616436,-0.3625799,t
13.372427,4.989816,t
13.369368,4.9906197,t
4.0794334,3.4989252,t
13.332497,5.005238,t
1.0730797,2.8846402,t
5.8775826,5.4389057,t
-2.024128,-2.3672106,t
1.8396854,2.4760418,t
-5.2865653,-6.011797,t
-6.1725674,-3.1689994,t
-5.2998557,-6.0087376,t
-6.2301326,-3.1033013,t
-9.944535,10.387907,t
5.955282,5.4029884,t
-3.4264803,-0.3765186,t
13.228979,4.9308696,t
2.6380973,-10.386213,t
2.6380825,-10.386254,t
2.6381645,-10.38672,t
2.6316674,-10.398835,t
-0.036521938,5.1289153,t
1.1414009,9.652117,t
6.2244334,-1.3037571,t
-4.3048177,3.2349226,t
8.357659,3.7886586,t
-0.1094796,2.8168488,t
-3.6031415,0.01154025,t
