UMAP1,UMAP2,Dataset
1.2638198,-1.9120604,t
0.6379615,8.667749,t
1.9846561,4.9553766,t
-2.05075,-2.3701615,t
3.4372334,-1.1328406,t
3.4146078,-1.1201724,t
-6.5546327,-3.6890543,t
3.8509858,-2.021131,t
1.6965315,4.4248667,t
3.8778222,-2.8411345,t
2.0398502,4.7747655,t
1.9085795,4.8452744,t
1.945943,-1.1504965,t
8.075244,-5.1016774,t
1.9060622,4.814605,t
11.8565445,4.4472666,t
11.854924,4.4481864,t
-2.3218086,13.053293,t
10.222733,-8.349268,t
10.224356,-8.350485,t
-10.046572,8.81635,t
-12.807049,-3.5622945,t
11.302326,-1.3052129,t
11.307879,-1.3089066,t
11.290765,-1.2942469,t
-12.80613,-3.5696487,t
1.8173016,4.4729958,t
1.8361411,4.461941,t
1.8741951,4.480501,t
-2.3217406,13.053512,t
-0.34574738,-1.74516,t
11.875814,1.2368313,t
1.1180742,-2.0961313,t
1.7067842,4.3927774,t
-10.978582,-2.0505714,t
-10.979032,-2.049928,t
-10.979796,-2.050574,t
-10.978589,-2.047026,t
-1.2231156,1.544596,t
4.632117,-0.19176741,t
4.6278386,-0.19245899,t
4.629568,-0.19156139,t
-8.167483,-2.7409198,t
-8.161282,-2.738947,t
-8.164871,-2.7450354,t
-4.5606217,0.5028388,t
-8.138742,-2.74919,t
-8.163716,-2.7474494,t
-8.159084,-2.7474763,t
11.89101,1.2508111,t
-10.04643,8.816521,t
-10.046525,8.816566,t
-10.044928,8.815057,t
-10.047455,8.819084,t
-10.046927,8.81727,t
-10.046628,8.81672,t
-10.047017,8.817008,t
1.3895983,-1.6821504,t
-2.1650047,-13.294589,t
8.049321,-5.1202407,t
-5.0170426,-7.5383162,t
-7.826213,-2.621515,t
-7.851765,-2.5915487,t
8.073784,-5.109621,t
-7.643291,-8.660218,t
-7.6404023,-8.660517,t
-7.64214,-8.660825,t
-7.642387,-8.660605,t
-7.642311,-8.659775,t
2.7180636,-2.7755318,t
2.7168286,-2.7823687,t
1.7870777,-4.529143,t
-0.75986105,-2.6225893,t
2.6559126,-0.9585425,t
-6.222175,0.9297092,t
2.7320423,-0.7700966,t
2.7748942,-0.8165972,t
8.100801,11.259099,t
1.1574585,-4.8568635,t
8.080392,-5.0876927,t
1.96284,4.9746995,t
1.8047553,4.9083285,t
3.9059453,-2.9645588,t
-6.5527043,-3.6896172,t
-1.4065872,-6.087861,t
5.160836,-1.0875342,t
2.5375843,12.1342325,t
2.535661,12.131606,t
1.153747,-4.855064,t
0.6514296,0.20634668,t
-11.720757,6.9894924,t
1.1562943,-4.8590155,t
1.1527737,-4.8609314,t
10.220197,-8.350352,t
-2.3071504,0.3719064,t
-2.3129995,0.36957622,t
-2.318244,0.34862125,t
11.886059,1.249376,t
1.9424304,-0.50954074,t
-12.805821,-3.5632446,t
2.0739436,5.021559,t
3.3538191,12.508996,t
3.3545969,12.511271,t
3.3543286,12.50925,t
3.3553095,12.511626,t
3.353601,12.516222,t
3.357254,12.52419,t
11.854004,1.2507309,t
1.4064351,-4.479204,t
7.854316,9.857659,t
2.3382194,-0.3298961,t
1.8368255,4.7927823,t
3.8381393,-3.172232,t
1.4124268,-4.509079,t
1.4107913,-4.5069942,t
1.4098048,-4.5134096,t
11.870318,1.2422127,t
1.4062247,-4.504887,t
1.9029024,4.834611,t
-7.4687147,2.1849132,t
-4.5980134,-6.8192053,t
-5.9216876,5.388924,t
-1.7166914,-6.392697,t
-1.4172701,-6.086867,t
5.142112,-1.0894705,t
2.0808315,5.0388026,t
1.8833822,4.9150033,t
3.9363759,-2.900298,t
-11.720412,6.989439,t
3.4352837,5.031683,t
3.4363167,5.0315247,t
3.4384797,5.0330653,t
3.4338353,5.0268927,t
-2.1468892,6.0794315,t
-2.1262567,6.09365,t
-0.47781938,-8.990054,t
-6.732033,-0.1287105,t
-11.720469,6.9893613,t
1.650722,0.3490576,t
3.4063194,-0.99263006,t
1.4690735,-1.3260771,t
1.5093881,-1.2788323,t
1.4767954,-1.3216094,t
1.4846493,-1.2974592,t
-12.4759,1.2751466,t
-12.478311,1.2676339,t
2.0474403,5.0126696,t
1.9912002,4.961937,t
3.9336128,-2.9247835,t
-2.3214357,13.05285,t
3.9069548,-2.9501753,t
8.073882,-5.10269,t
1.1496623,-4.395414,t
1.1514475,-4.3922744,t
1.160921,-4.386254,t
11.876187,1.2471626,t
1.159053,-4.3928337,t
1.1553273,-4.3844476,t
2.043823,4.805935,t
1.9013028,4.85228,t
-1.5330201,3.9039977,t
-1.5387903,3.9178865,t
-6.806817,1.146466,t
-6.5583243,-0.58960944,t
-5.015761,-7.5314384,t
-12.478292,1.2767755,t
-12.475961,1.2771333,t
-12.480086,1.2762375,t
1.9629347,4.932942,t
-12.807381,-3.5716412,t
1.8124019,4.441329,t
1.7871909,4.4111032,t
3.3968709,-1.0033307,t
1.8059403,4.4246106,t
3.3959663,-0.9878992,t
-2.3212318,13.052936,t
-2.316936,13.051412,t
0.08628014,-1.884993,t
1.9503312,0.04470943,t
1.7425843,4.4045115,t
8.865455,9.397727,t
1.6889845,0.03505442,t
1.1896759,-4.385993,t
7.0540223,5.8117094,t
1.9812393,4.9598227,t
3.9253228,-2.9084122,t
1.2312984,-4.4096026,t
-0.041163832,-2.2504077,t
8.074117,-5.1057844,t
-7.8176427,-2.566536,t
-7.8619447,-2.5847352,t
0.36832634,-2.318655,t
11.887024,1.2452557,t
-0.089109704,-12.1616535,t
-2.9095519,11.478357,t
-2.9085643,11.478565,t
11.51375,-4.72641,t
1.1488187,-4.8624883,t
1.1622121,-4.853535,t
10.209145,-8.353687,t
0.63667125,8.703273,t
-12.46708,1.2989961,t
-0.3476063,-2.1509635,t
1.3514538,-4.3733816,t
-7.5987873,2.0604644,t
-6.6287546,-2.3447695,t
-0.82556266,0.6012101,t
-12.468452,1.3170663,t
-12.467906,1.2921306,t
-12.4701185,1.3177034,t
-11.914741,-6.004439,t
1.9450753,4.403792,t
1.9308466,4.42962,t
1.9409595,4.425587,t
1.9477458,4.411929,t
1.9223019,4.4018035,t
-12.806706,-3.5701764,t
1.9051226,4.3891497,t
8.867325,9.404783,t
-2.32067,13.052802,t
-12.469217,1.3014717,t
-12.471501,1.2779058,t
-12.474371,1.2841065,t
-12.471142,1.2845955,t
-12.805988,-3.5669353,t
-12.804793,-3.560945,t
-12.808414,-3.573306,t
-12.486341,1.2803396,t
-12.4855175,1.2774837,t
-12.48122,1.2753538,t
-12.486315,1.2804923,t
-12.805755,-3.5625942,t
-12.792605,-3.5467546,t
-12.804685,-3.5604758,t
-12.806947,-3.570369,t
-12.805294,-3.5624075,t
-12.805981,-3.5629845,t
-12.805076,-3.5568962,t
-12.807902,-3.5710993,t
-12.805409,-3.5605109,t
-12.806657,-3.563507,t
-12.479391,1.2476485,t
-12.810014,-3.5765438,t
-12.806594,-3.5656385,t
-12.807554,-3.5649037,t
-12.805399,-3.5620353,t
-12.805258,-3.5614743,t
-12.470727,1.2542243,t
-12.808305,-3.5693588,t
-12.471594,1.3234417,t
-12.474796,1.3235997,t
-12.474387,1.3238176,t
-12.469963,1.31275,t
-12.47259,1.3215115,t
-12.4703,1.3148534,t
-12.475544,1.3250362,t
-12.474415,1.3237422,t
-12.470415,1.3118392,t
-12.471859,1.3098736,t
-12.470434,1.3085698,t
-12.470692,1.309767,t
-12.47073,1.3068107,t
-12.808,-3.5729294,t
-12.808146,-3.5729933,t
-12.807619,-3.5739002,t
-12.809829,-3.5733025,t
-12.810271,-3.5719619,t
2.205413,-4.0446043,t
1.7484529,4.4144287,t
-2.3203456,13.051603,t
1.8970677,4.361457,t
-2.3206446,13.052018,t
-2.3216388,13.053009,t
-2.3216887,13.053027,t
-2.3215601,13.053366,t
-2.3214242,13.053297,t
-2.320714,13.052539,t
2.2018416,-4.0494204,t
2.2039747,-4.0499945,t
-2.314841,13.042743,t
-2.3196833,13.050371,t
0.39867127,-2.4091563,t
-0.3429682,-2.164512,t
8.743601,-4.892051,t
11.876975,1.2439775,t
3.9057815,-2.8714697,t
8.736264,-4.8862443,t
11.884963,1.2502865,t
11.8855715,1.2504902,t
7.512997,-10.391517,t
-11.719996,6.989291,t
11.885453,1.2478333,t
0.3920091,-2.453813,t
-2.418956,-0.7306967,t
2.1298444,5.090874,t
1.827882,4.4689627,t
3.006491,5.395069,t
-8.698002,10.899564,t
1.7368327,4.4398866,t
1.8083692,4.4661393,t
1.8159305,4.463599,t
2.0900054,5.0509024,t
2.06573,5.0311103,t
2.1088326,5.0704308,t
1.8166395,4.441782,t
2.0917907,5.079301,t
2.0879798,5.0448046,t
8.736059,-4.890516,t
1.8040065,4.473043,t
-8.029885,-2.7940497,t
12.6632805,-0.6386105,t
2.1035686,5.02601,t
2.0651872,5.0260215,t
2.0407631,5.04367,t
2.0888693,5.041939,t
2.088783,5.0430617,t
2.0871985,5.03999,t
2.0427125,5.016861,t
2.0663009,5.0305276,t
2.0871878,5.0361795,t
1.8093,4.4731865,t
-0.0513444,-1.81415,t
1.896751,4.362406,t
2.042428,4.4311495,t
3.8057523,-3.207975,t
0.7855382,12.790285,t
1.799042,4.3932986,t
0.3860389,-2.4488096,t
1.8739245,4.4124837,t
1.8595004,4.4020486,t
2.0541499,5.0183887,t
1.8165964,4.4579453,t
2.2103589,-4.0424323,t
2.2113323,-4.038023,t
2.0775852,5.0548525,t
2.0742943,5.051175,t
11.88627,1.248565,t
-11.720792,6.9895077,t
1.813491,-0.3487448,t
2.6296282,7.778936,t
-2.410868,-0.7227544,t
11.884262,1.2508506,t
1.7884593,-1.57978,t
11.884987,1.2515211,t
11.886191,1.2499503,t
-2.9085004,11.479062,t
-2.9093924,11.478744,t
-11.7213745,6.990931,t
-0.7920559,-3.4945219,t
-7.976183,-2.781325,t
0.7853517,12.791116,t
1.3725257,-1.7200458,t
1.3161318,-1.664834,t
1.9464433,-1.3398035,t
3.3302298,-0.9705918,t
3.3625264,-0.9663772,t
10.211972,-8.356346,t
1.969459,4.940418,t
3.9419112,-2.9138405,t
11.887479,1.2214025,t
-6.6696277,8.446705,t
-2.0468955,-2.4059405,t
11.849063,1.2802274,t
3.4130893,-1.0962402,t
-1.1194097,-2.6110086,t
11.885779,1.2484707,t
1.9769717,4.9455776,t
-0.17129704,-2.4760203,t
3.923326,-2.8850665,t
-4.804908,-0.30278,t
3.9545846,-3.022641,t
-5.169874,-2.130709,t
3.9275188,-2.9060512,t
1.96918,4.991009,t
1.9136734,4.9371333,t
3.9102466,-2.824808,t
3.0743325,5.410493,t
3.0554333,5.425467,t
-8.698155,10.89977,t
-8.698284,10.899866,t
1.6615545,4.416888,t
3.3677855,-0.8898059,t
1.1761647,-4.3887534,t
3.871922,-2.8226526,t
1.7594751,4.3989344,t
10.209003,-8.352957,t
3.3701572,-0.99297446,t
-7.815399,-2.5672495,t
-7.8228736,-2.6134455,t
-7.811334,-2.5628803,t
-7.8168197,-2.5740674,t
1.6868132,0.32509497,t
-1.5433352,3.9239452,t
-1.5446585,3.9138331,t
-1.5218879,3.8956246,t
-1.5328487,3.8813202,t
-1.5368308,3.9314966,t
-1.5456953,3.927714,t
-1.5511217,3.9292734,t
-1.5456831,3.9295943,t
-1.3284078,-6.1056666,t
-1.6956323,-6.3757834,t
-1.3863701,-6.0615315,t
5.1481895,-1.083913,t
3.9510725,-2.9162257,t
3.9568007,-2.9379885,t
8.071921,-5.10643,t
8.072932,-5.109044,t
2.4549532,0.39711022,t
11.122495,-5.9199424,t
11.12447,-5.923585,t
11.125184,-5.9241867,t
-6.670266,8.443552,t
10.207189,-8.352424,t
3.286397,-1.0763687,t
1.9919598,4.9984736,t
3.9867926,-2.980321,t
-12.503365,4.391281,t
1.753993,4.410352,t
3.312704,-0.98573697,t
2.2600853,-0.30384296,t
1.9792955,4.9790354,t
3.9471478,-2.9190793,t
1.9749435,4.992113,t
1.1982284,-4.3969674,t
-0.6934044,-2.114495,t
1.9239734,4.9252543,t
3.9387548,-2.9119227,t
7.499559,-10.383749,t
7.49692,-10.388721,t
1.7551497,4.4154096,t
11.86762,1.2620909,t
3.343061,-1.0053588,t
1.966866,4.9678054,t
1.9809809,4.9755883,t
3.9397771,-2.919209,t
8.080833,-5.0881987,t
8.080568,-5.0897675,t
8.080687,-5.09033,t
-6.9097466,4.920455,t
11.898082,1.2509872,t
2.5295148,-0.31263804,t
7.513317,-10.392284,t
-11.721096,6.989589,t
-2.4962733,-3.5896034,t
-0.28894904,-0.74320173,t
-11.721059,6.989633,t
11.885608,1.248239,t
-0.11329815,-1.7994372,t
-11.721035,6.9896836,t
-11.722083,6.9896064,t
8.073969,-5.101773,t
8.073362,-5.1008005,t
8.07111,-5.1008096,t
0.12749755,0.86460227,t
0.12949057,0.85697126,t
0.11731368,0.847144,t
-1.370467,-1.0386361,t
-10.972191,-2.024245,t
-10.9730015,-2.0355062,t
-10.973068,-2.036838,t
-5.0158443,-7.536665,t
8.741055,-4.885198,t
-5.01958,-7.5353355,t
-5.023331,-7.5445604,t
8.738378,-4.8886147,t
0.54452324,-0.78303623,t
8.73955,-4.8869433,t
0.6401415,8.693999,t
-5.006486,-7.509737,t
-5.010301,-7.5034323,t
-5.0126777,-7.500108,t
-5.012186,-7.5018067,t
13.017486,4.196952,t
13.017663,4.197009,t
13.017759,4.197041,t
-1.4427316,5.28679,t
7.4998493,-10.383576,t
7.4989586,-10.382655,t
1.7123233,4.4313207,t
3.3338213,-0.9917852,t
-7.9807944,-2.7737656,t
11.874069,1.2583933,t
-7.976665,-2.760614,t
-8.0304575,-2.8066027,t
11.877378,1.2658114,t
2.100428,4.928107,t
3.9866722,-3.0848908,t
2.3611352,-0.3514136,t
2.287844,-0.38698998,t
0.5556924,0.39279374,t
11.884093,1.250415,t
1.9893011,4.9847097,t
3.9964464,-2.9866583,t
12.662819,-0.6387542,t
12.663029,-0.6386264,t
3.9563196,-2.8778036,t
2.4067729,-0.33392575,t
2.0028927,4.9791856,t
3.8762057,-2.8107476,t
1.9889727,5.029387,t
3.8849752,-2.8676975,t
-0.6571715,-1.1518512,t
3.8341887,-2.7687144,t
3.8279884,-2.7633336,t
0.46218288,-1.6357044,t
0.14794123,0.9521916,t
1.9632554,4.954049,t
3.9013655,-2.8608472,t
11.882027,1.2506653,t
11.885485,1.2511373,t
11.884824,1.2505839,t
2.0624087,5.024071,t
3.9496295,-2.9298644,t
11.884843,1.2515994,t
-7.503629,2.0387719,t
3.831038,-4.097958,t
-8.002983,1.8769556,t
3.071839,-9.553198,t
11.884618,1.2521787,t
11.886445,1.248054,t
-0.8949704,3.8442774,t
-2.4336534,-1.2133393,t
11.88541,1.2498935,t
8.865308,9.396504,t
3.6583312,-0.5940618,t
0.5529842,-2.7471702,t
-2.2116325,-2.4132566,t
11.887299,1.247073,t
8.86523,9.396054,t
1.8908446,1.8191699,t
2.005939,4.995559,t
3.9836943,-2.9794133,t
-6.672599,8.4461775,t
-4.83324,0.12044752,t
2.0035672,5.0073304,t
3.9748805,-2.9743645,t
1.9703106,4.9370937,t
3.3551414,-1.0252036,t
4.0046525,-2.9845667,t
3.9887633,-2.9817095,t
1.9851367,4.993159,t
11.867084,1.2622296,t
